Status-ID,"Departure station name","Departure station coordinates","Destination station name","Destination station coordinates"
5210222,"Rostock Hbf","54.078197,12.131257","Stralsund Hbf","54.308626,13.077318"
5210586,"Stralsund Hbf","54.308626,13.077318",Samtens,"54.354031,13.290282"
5210767,Samtens,"54.354031,13.290282",Prora,"54.445002,13.564039"
5212246,Prora,"54.445002,13.564039","Stralsund Rügendamm","54.305283,13.107468"
5212651,"Stralsund Rügendamm","54.305283,13.107468","Stralsund Hbf","54.308626,13.077318"
5212779,"Stralsund Hbf","54.308626,13.077318","Rostock Hbf","54.078197,12.131257"
5356175,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock, Steintor / IHK","54.085865,12.142689"
5356922,"Rostock, Steintor / IHK","54.085865,12.142689","Rostock, Lomonossowstraße","54.065098,12.117213"
5385169,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock Hbf","54.078197,12.131257"
5385264,"Rostock Hbf","54.078197,12.131257","Berlin Hbf","52.524924,13.369629"
5393787,"Berlin Hbf","52.524924,13.369629","Frankfurter Tor (U), Berlin","52.515845,13.453948"
5394056,"Frankfurter Tor (U), Berlin","52.515845,13.453948","Gustav-Holzmann-Str., Berlin","52.493354,13.490409"
5395585,"Gustav-Holzmann-Str., Berlin","52.493354,13.490409","Neue Bahnhofstr., Berlin","52.506424,13.469769"
5395644,"S Ostkreuz Bhf (Berlin)","52.503315,13.469607","S+U Friedrichstr. Bhf (Berlin)","52.520424,13.38635"
5396748,"Berlin Hbf","52.524924,13.369629","Rostock Hbf","54.078197,12.131257"
5440096,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock Hbf","54.078197,12.131257"
5440129,"Rostock Hbf","54.078197,12.131257","Hamburg Hbf","53.553533,10.00636"
5440474,"Rostock, Stadthalle","54.078255,12.127095","Rostock, Lomonossowstraße","54.065098,12.117213"
5441880,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock Hbf","54.078197,12.131257"
5441944,"Rostock Hbf","54.078197,12.131257","Hamburg Hbf","53.553533,10.00636"
5443862,"Hamburg Hauptbahnhof Nord","53.554024,10.005202","Hamburg Rauhes Haus","53.55421,10.066485"
5445105,Beethovenstraße,"53.574574,10.021812","Hamburg HBF/Kirchenallee","53.553246,10.008697"
5445230,"Hamburg Hbf","53.553533,10.00636","Bremen Hbf","53.08328,8.813681"
5445664,"Bremen Herdentor","53.079735,8.81024","Bremen Am Brill (Hutfilter-/Obernstraße)","53.078705,8.801619"
5445738,"Bremen Am Brill (Hutfilter-/Obernstraße)","53.078705,8.801619","Bremen Konsul-Smidt-Straße","53.086697,8.782151"
5448903,"Bremen Wartburgstraße","53.09372,8.78883","Bremen Hauptbahnhof","53.081413,8.81365"
5449027,"Bremen Hauptbahnhof","53.081413,8.81365","Bremen Universität-Süd","53.105026,8.851518"
5450219,"Bremen Universität-Süd","53.105026,8.851518","Bremen Hauptbahnhof-Nord/Messe","53.084587,8.816799"
5450852,"Bremen Hbf","53.08328,8.813681","Hamburg Hbf","53.551193,10.008067"
5451505,"Hamburg Hbf","53.553533,10.00636","Rostock Hbf","54.078197,12.131257"
5489241,"Rostock, Majakowskistraße","54.069443,12.116225","Rostock Neuer Markt","54.08899,12.140408"
5489254,"Rostock, Majakowskistraße","54.069443,12.116225","Rostock Neuer Markt","54.08899,12.140408"
5492074,"Rostock, Kröpeliner Tor","54.089817,12.129987","Rostock, Lomonossowstraße","54.065098,12.117213"
5531888,"Rostock Hbf","54.078197,12.131257","Schwerin Hbf","53.634723,11.407527"
5532758,"Schwerin Hbf","53.634723,11.407527",Ludwigslust,"53.335122,11.493751"
5533298,Ludwigslust,"53.335122,11.493751","S Spandau Bhf (Berlin)","52.534668,13.197191"
5534241,"S+U Rathaus Spandau (Berlin)","52.535187,13.199712","Siemensdamm (U), Berlin","52.536799,13.272483"
5534818,"Siemensdamm (U), Berlin","52.536799,13.272483","Bayerischer Platz (U), Berlin","52.488527,13.339938"
5535835,"Bayerischer Platz (U), Berlin","52.488527,13.339938","Siemensdamm (U), Berlin","52.536799,13.272483"
5538390,"Siemensdamm (U), Berlin","52.536799,13.272483","Bismarckstr. (U), Berlin","52.51153,13.305177"
5538395,"Bismarckstr. (U), Berlin","52.51153,13.305177","Stadtmitte (U), Berlin","52.511701,13.389684"
5543056,"S+U Potsdamer Platz Bhf (Berlin)","52.50831,13.377322","S+U Jungfernheide Bhf (Berlin)","52.53036,13.299325"
5543124,"S+U Jungfernheide Bhf (Berlin)","52.53036,13.299325","Siemensdamm (U), Berlin","52.536799,13.272483"
5543377,"Siemensdamm (U), Berlin","52.536799,13.272483","Zitadelle (U), Berlin","52.537635,13.217685"
5543590,"Zitadelle (U), Berlin","52.537635,13.217685","Siemensdamm (U), Berlin","52.536799,13.272483"
5545758,"Siemensdamm (U), Berlin","52.536799,13.272483","Bayerischer Platz (U), Berlin","52.488527,13.339938"
5546089,"Rathaus Schöneberg, Berlin","52.485291,13.345071","S Südkreuz Bhf (Berlin)","52.47588,13.365602"
5546101,"S Südkreuz Bhf (Berlin)","52.47588,13.365602","S+U Tempelhof (Berlin)","52.471027,13.384476"
5547001,"Südstern (U), Berlin","52.489066,13.407879","Bayerischer Platz (U), Berlin","52.488527,13.339938"
5547334,"Rathaus Schöneberg, Berlin","52.485291,13.345071","S Südkreuz Bhf (Berlin)","52.47588,13.365602"
5547365,"S Südkreuz Bhf (Berlin)","52.47588,13.365602","Berlin Hbf","52.524924,13.369629"
5547553,"Berlin Südkreuz","52.47623,13.365863","Rostock Hbf","54.078197,12.131257"
5548893,"Rostock Hbf","54.078197,12.131257","Rostock, Lomonossowstraße","54.065098,12.117213"
5591659,Neubrandenburg,"53.561938,13.261768","Neustrelitz Hbf","53.357936,13.07375"
5592098,"Neustrelitz Hbf","53.357936,13.07375","Rostock Hbf","54.078197,12.131257"
5630786,"Rostock Hbf","54.078197,12.131257","Berlin Hbf","52.524924,13.369629"
5631772,"Berlin Hbf","52.524924,13.369629","Erfurt Hbf","50.97255,11.038502"
5632375,"Erfurt Hbf","50.97255,11.038502",Frankfurt(Main)Hbf,"50.106817,8.663003"
5633793,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Hbf","49.872549,8.629707"
5637228,"Darmstadt Kasinostraße","49.874973,8.642866","Darmstadt Hbf","49.872549,8.629707"
5637735,Neu-Edingen/Friedrichsfeld,"49.44842,8.579934",Schwetzingen,"49.383428,8.578712"
5637739,Schwetzingen,"49.383428,8.578712","Karlsruhe Hbf","48.99353,8.401939"
5638216,"Karlsruhe Hbf","48.99353,8.401939",Wilferdingen-Singen,"48.953744,8.572797"
5642671,Wilferdingen-Singen,"48.953744,8.572797","Karlsruhe Hbf","48.99353,8.401939"
5642914,"Karlsruhe Hbf","48.99353,8.401939",Frankfurt(Main)Hbf,"50.106817,8.663003"
5643813,Frankfurt(Main)Hbf,"50.106817,8.663003","Berlin Gesundbrunnen","52.548656,13.39106"
5645926,"Berlin Gesundbrunnen","52.548656,13.39106","Rostock Hbf","54.078197,12.131257"
5669912,"Rostock Hbf","54.078197,12.131257","Berlin Gesundbrunnen","52.548656,13.39106"
5670286,"Berlin Gesundbrunnen","52.548656,13.39106",Frankfurt(Main)Hbf,"50.106817,8.663003"
5672554,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Hbf","49.872549,8.629707"
5774611,"Darmstadt Hbf","49.872549,8.629707",Frankfurt(Main)Süd,"50.099302,8.686187"
5775170,Frankfurt(Main)Süd,"50.099302,8.686187","Berlin Hbf","52.524924,13.369629"
5779693,"S+U Berlin Hauptbahnhof","52.524788,13.369667",Güstrow,"53.800754,12.172608"
5779695,Güstrow,"53.800754,12.172608","Rostock Hbf","54.078197,12.131257"
5779861,"Rostock Hbf","54.078197,12.131257","Rostock, Lomonossowstraße","54.065098,12.117213"
5816820,"Rostock Hbf","54.078197,12.131257","Berlin Hbf","52.524924,13.369629"
5820316,"Berlin Hbf","52.524924,13.369629",Frankfurt(Main)Hbf,"50.106817,8.663003"
5820336,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Hbf","49.872549,8.629707"
5820341,"Darmstadt Hbf","49.872549,8.629707","Darmstadt Kasinostraße","49.874973,8.642866"
5824487,"Darmstadt Hbf","49.872549,8.629707","Frankfurt (Main) Flughafen Terminal 1","50.051414,8.571453"
5825047,"Frankfurt(M) Flughafen Fernbf","50.052926,8.569776",Montabaur,"50.44473,7.825254"
5831311,Montabaur,"50.44473,7.825254",Frankfurt(Main)Hbf,"50.106817,8.663003"
5831927,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Ost","49.874904,8.673772"
5832185,"Darmstadt Ost","49.874904,8.673772","Darmstadt Kasinostraße","49.874973,8.642866"
5836579,Frankfurt(Main)Hbf,"50.106817,8.663003","S+U Berlin Hauptbahnhof","52.524788,13.369667"
5838169,"Berlin Hbf","52.524924,13.369629","Rostock Hbf","54.078197,12.131257"
6020471,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock Hbf","54.078197,12.131257"
6020549,"Rostock Hbf","54.078197,12.131257","Dresden Hbf","51.040221,13.731409"
6022459,"Dresden Hbf","51.040221,13.731409","Bad Schandau Nationalparkbahnhof","50.91921,14.137704"
6022840,"Bad Schandau Nationalparkbahnhof","50.91956,14.140246","Bad Schandau Elbbrücke","50.921186,14.14085"
6022928,"Bad Schandau Elbbrücke","50.921186,14.14085","Kirnitzschtal Beuthenfall","50.926506,14.237893"
6029683,"Hřensko,střed","50.87404,14.242667","Děčín,hl.nádr.","50.773994,14.200767"
6029909,"Děčín hl. n.","50.773476,14.201046","Praha hl. n.","50.083058,14.436037"
6031066,Muzeum,"50.080048,14.430857",Malostranská,"50.091637,14.409068"
6031762,Malostranská,"50.091637,14.409068",Můstek,"50.08359,14.424664"
6032159,Můstek,"50.08359,14.424664",Muzeum,"50.080048,14.430857"
6032364,"Praha hl.n.","50.083058,14.436038","Decin hl.n.","50.773987,14.201527"
6033216,"Decin hl.n.","50.773987,14.201527",Schöna,"50.87588,14.234688"
6033333,"Schöna Fährstelle","50.87526,14.234929","Hrensko Fährstelle","50.8749,14.236195"
6034811,"Hřensko,střed","50.87404,14.242667","Hřensko,přívoz","50.87761,14.236995"
6036579,"Postelwitz Abzweig Ostrau","50.910576,14.184937","Bad Schandau Marktplatz","50.917656,14.153146"
6036662,"Bad Schandau Elbkai","50.91663,14.152077","Bad Schandau Nationalparkbahnhof","50.91956,14.140246"
6036715,"Bad Schandau Nationalparkbahnhof","50.91921,14.137704","Dresden Hbf","51.040221,13.731409"
6038032,"Dresden Hbf","51.040221,13.731409","Rostock Hbf","54.078197,12.131257"
6039772,"Rostock Hbf","54.078197,12.131257","Rostock, Lomonossowstraße","54.065098,12.117213"
6065632,"Rostock, Südstadt-Center","54.07215,12.117195","Rostock, Kröpeliner Tor","54.089817,12.129987"
6067553,"Rostock, Kröpeliner Tor","54.089817,12.129987","Rostock, Lomonossowstraße","54.065098,12.117213"
6068310,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock Hbf","54.078197,12.131257"
6068445,"Rostock Hbf","54.078197,12.131257","Bad Kleinen","53.766847,11.466496"
6068958,"Bad Kleinen","53.766847,11.466496","Lübeck Hbf","53.86767,10.669737"
6069390,"Lübeck Hbf","53.86767,10.669737","Hamburg Hbf","53.553533,10.00636"
6069732,"Hamburg Hbf","53.553533,10.00636","Darmstadt Hbf","49.872549,8.629707"
6073236,"Darmstadt Kasinostraße","49.874973,8.642866","Darmstadt Hbf","49.872549,8.629707"
6073243,"Darmstadt Hbf","49.872549,8.629707",Frankfurt(Main)Süd,"50.099302,8.686187"
6073569,Frankfurt(Main)Süd,"50.099302,8.686187","Offenbach(Main) Ost","50.102762,8.784375"
6073689,"Offenbach(Main) Ost","50.102762,8.784375","Obertshausen(Kr Of)","50.072011,8.853737"
6073944,"Obertshausen(Kr Of)","50.072011,8.853737","Obertshausen-Hausen Robert-Koch-Straße","50.075386,8.86026"
6081273,"Darmstadt Kasinostraße","49.874973,8.642866","Darmstadt Schulstraße","49.870167,8.656562"
6081925,"Darmstadt Luisenplatz","49.872883,8.650254","Darmstadt Rhein-/Neckarstraße","49.871532,8.644714"
6083848,"Darmstadt Kasinostraße","49.874973,8.642866","Darmstadt Hbf","49.872549,8.629707"
6083970,"Darmstadt Hbf","49.872549,8.629707","Hamburg Hbf","53.553533,10.00636"
6086870,"Hamburg Hbf","53.553533,10.00636","Rostock Hbf","54.078197,12.131257"
6149267,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock Hbf","54.078197,12.131257"
6149280,"Rostock Hbf","54.078197,12.131257","S+U Gesundbrunnen Bhf (Berlin)","52.54913,13.389907"
6150740,"S+U Gesundbrunnen Bhf (Berlin)","52.54913,13.389907","Rosenthaler Platz (U), Berlin","52.529787,13.401406"
6150752,"Rosenthaler Platz (U), Berlin","52.529787,13.401406","Mollstr./Otto-Braun-Str., Berlin","52.525203,13.419888"
6152439,"Mollstr./Otto-Braun-Str., Berlin","52.525203,13.419888","S+U Alexanderplatz Bhf/Gontardstr. (Berlin)","52.521027,13.411285"
6152444,"S+U Alexanderplatz Bhf (Berlin)","52.52145,13.411009","Warschauer Str. (S+U), Berlin","52.505238,13.449112"
6153920,"S Ostbahnhof (Berlin)","52.51006,13.433347","S+U Alexanderplatz Bhf (Berlin)","52.52145,13.411009"
6153923,"S+U Alexanderplatz Bhf/Gontardstr. (Berlin)","52.521027,13.411285","Mollstr./Otto-Braun-Str., Berlin","52.525203,13.419888"
6156394,"Mollstr./Otto-Braun-Str., Berlin","52.525203,13.419888","S+U Berlin Hauptbahnhof","52.526585,13.369713"
6158317,"Berlin Gesundbrunnen","52.548656,13.39106","Rostock Hbf","54.078197,12.131257"
6158331,"Rostock Hbf","54.078197,12.131257","Rostock, Lomonossowstraße","54.065098,12.117213"
6178805,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock Hbf","54.078197,12.131257"
6178991,"Rostock Hbf","54.078197,12.131257","S Oranienburg Bhf","52.754093,13.249336"
6179878,"S Oranienburg Bhf","52.754093,13.249336","S+U Gesundbrunnen Bhf (Berlin)","52.54913,13.389907"
6180113,"S+U Gesundbrunnen Bhf (Berlin)","52.54913,13.389907","S Ostkreuz Bhf (Berlin)","52.503315,13.469607"
6185101,"S+U Zoologischer Garten Bhf (Berlin)","52.50707,13.331736","S Ostbahnhof (Berlin)","52.51006,13.433347"
6185140,"S Ostbahnhof (Berlin)","52.51006,13.433347","S Betriebsbahnhof Rummelsburg (Berlin)","52.49397,13.497724"
6189090,"S Betriebsbahnhof Rummelsburg (Berlin)","52.49397,13.497724","S Ostkreuz Bhf (Berlin)","52.503315,13.469607"
